rmscurrent,rmsvoltage,activepower,reactivepower,apparentpower,powerfactor,frequency,temperature
0.00,235.00,0.22,-0.00,0.26,0.84,49.98,35.50
0.00,235.06,0.23,0.01,0.25,0.86,49.99,34.93
0.00,235.23,0.22,-0.00,0.25,0.84,50.00,35.22
0.00,235.24,0.22,-0.01,0.25,0.88,50.00,35.50
0.00,235.71,0.21,-0.01,0.26,0.86,50.00,34.93
0.00,235.36,0.22,-0.00,0.26,0.82,50.00,35.50
0.00,235.35,0.21,-0.00,0.25,0.85,50.01,34.65
0.00,235.39,0.21,-0.00,0.25,0.85,50.00,35.50
0.00,235.40,0.22,-0.00,0.25,0.88,50.00,34.93
0.00,235.49,0.22,-0.01,0.25,0.88,50.01,34.93
0.00,235.53,0.22,0.00,0.25,0.88,50.02,34.93
0.00,235.55,0.22,-0.00,0.26,0.86,50.01,35.50
0.00,235.61,0.22,-0.00,0.26,0.85,50.01,35.50
0.00,235.48,0.22,-0.01,0.25,0.86,50.02,35.79
0.00,235.49,0.22,0.00,0.25,0.86,50.01,35.22
0.00,235.48,0.21,-0.01,0.25,0.88,50.00,35.50
0.00,235.40,0.21,-0.00,0.26,0.85,50.00,34.93
0.00,235.54,0.22,-0.01,0.25,0.87,50.01,35.79
0.00,235.57,0.22,0.00,0.26,0.89,50.01,35.22
0.00,235.47,0.22,-0.01,0.25,0.87,50.00,35.22
0.00,235.83,0.22,-0.01,0.25,0.87,50.00,34.93
0.00,235.94,0.22,-0.00,0.26,0.85,50.01,35.22
0.00,235.97,0.21,-0.01,0.26,0.89,50.01,34.93
0.00,235.97,0.22,-0.01,0.25,0.83,50.01,35.79
0.00,236.11,0.22,0.00,0.25,0.86,50.01,35.22
0.00,236.12,0.22,-0.01,0.25,0.87,50.02,35.22
0.00,236.75,0.22,0.00,0.25,0.89,50.02,35.22
0.00,236.74,0.22,-0.01,0.26,0.88,50.03,34.93
0.00,236.57,0.22,-0.00,0.26,0.84,50.03,35.22
0.00,236.46,0.22,-0.00,0.26,0.86,50.03,34.65
0.00,236.61,0.22,-0.01,0.26,0.84,50.04,35.50
0.00,236.16,0.22,-0.01,0.25,0.85,50.04,34.93
0.00,236.03,0.22,-0.01,0.25,0.85,50.05,34.93
0.00,236.18,0.21,-0.00,0.25,0.88,50.05,34.65
0.00,236.19,0.22,-0.00,0.26,0.86,50.04,34.93
0.00,236.15,0.22,0.00,0.25,0.84,50.03,35.50
0.00,236.14,0.21,-0.01,0.26,0.83,50.04,34.93
0.00,236.28,0.22,-0.00,0.26,0.85,50.04,35.22
0.00,236.25,0.22,-0.00,0.26,0.83,50.03,34.93
0.00,236.62,0.22,-0.00,0.26,0.85,50.03,35.50
0.00,236.60,0.21,-0.00,0.26,0.85,50.03,35.50
0.00,236.67,0.23,-0.00,0.26,0.84,50.02,34.93
0.00,236.61,0.22,-0.00,0.25,0.85,50.01,35.50
0.00,236.44,0.22,0.00,0.26,0.88,50.01,35.22
0.00,236.37,0.21,-0.00,0.26,0.85,50.00,35.79
0.00,236.45,0.22,-0.01,0.25,0.89,50.00,35.22
0.00,236.46,0.22,0.00,0.26,0.87,50.00,35.50
0.00,236.46,0.21,-0.00,0.25,0.89,50.01,35.50
0.00,236.41,0.22,0.01,0.26,0.88,49.99,35.22
0.00,236.45,0.21,-0.00,0.26,0.85,49.99,35.50
0.00,236.45,0.22,-0.00,0.26,0.86,50.00,35.79
0.00,236.74,0.23,-0.01,0.25,0.86,50.00,35.50
0.00,236.76,0.22,-0.01,0.26,0.87,49.99,35.22
0.00,236.72,0.21,0.00,0.25,0.86,49.99,35.50
0.00,236.69,0.22,-0.00,0.25,0.87,49.99,35.50
0.00,236.62,0.22,-0.00,0.26,0.87,49.99,35.22
0.00,236.56,0.22,-0.01,0.26,0.85,49.99,34.93
0.00,236.68,0.22,-0.01,0.25,0.89,49.99,35.22
