0.05,226.74,8.95,0.00,11.45,0.77,49.99,33.79
0.05,227.01,8.77,0.00,11.41,0.77,49.98,33.51
0.05,227.39,9.02,0.00,11.54,0.77,49.98,33.51
0.05,227.15,8.81,0.00,11.45,0.77,49.98,33.79
0.05,226.90,8.72,0.00,11.37,0.77,49.97,33.79
0.05,226.80,8.93,0.00,11.45,0.78,49.97,33.79
0.05,227.73,8.84,0.00,11.52,0.77,49.97,33.51
0.05,227.55,8.92,0.00,11.52,0.77,49.96,33.22
0.05,227.25,8.91,0.00,11.48,0.78,49.96,33.51
0.05,227.17,8.82,0.00,11.44,0.77,49.95,34.08
0.05,227.43,8.84,0.00,11.47,0.77,49.96,33.51
0.05,227.17,8.72,0.00,11.40,0.77,49.96,33.79
0.05,227.40,8.74,0.00,11.43,0.76,49.96,33.51
0.05,227.78,8.98,0.00,11.56,0.77,49.96,33.79
0.05,227.41,8.82,0.00,11.48,0.78,49.96,33.79
0.05,227.10,8.73,0.00,11.39,0.77,49.95,33.51
0.05,227.19,8.83,0.00,11.42,0.77,49.95,33.51
0.05,227.85,9.12,0.00,11.61,0.77,49.95,34.08
0.05,227.68,9.10,0.00,11.62,0.79,49.94,33.79
0.05,227.28,8.93,0.00,11.48,0.78,49.94,33.51
0.05,227.26,8.84,0.00,11.46,0.78,49.94,33.51
0.05,227.50,8.76,0.00,11.42,0.77,49.94,33.51
0.05,227.35,8.82,0.00,11.45,0.77,49.94,33.79
0.05,227.77,8.94,0.00,11.53,0.77,49.95,33.51
0.05,227.97,9.08,0.00,11.59,0.77,49.95,33.79
0.05,227.76,8.98,0.00,11.53,0.78,49.95,33.79
0.05,227.25,8.77,0.00,11.42,0.78,49.95,33.51
0.05,227.07,8.69,0.00,11.36,0.77,49.96,33.51
0.05,227.78,8.81,0.00,11.48,0.77,49.95,34.08
0.05,227.73,8.68,0.00,11.43,0.77,49.95,33.51
0.05,227.28,9.09,0.00,11.50,0.78,49.96,33.51
0.05,226.97,9.04,0.00,11.47,0.79,49.96,33.79
0.05,227.26,9.19,0.00,11.57,0.79,49.96,33.22
0.05,227.21,9.13,0.00,11.56,0.80,49.97,33.22
0.05,227.48,9.22,0.00,11.61,0.79,49.97,33.51
0.05,227.37,9.08,0.00,11.50,0.77,49.98,33.51
0.05,227.44,8.90,0.00,11.47,0.78,49.98,33.51
0.05,226.36,9.01,0.00,11.40,0.79,49.98,34.08
0.05,226.07,9.03,0.00,11.37,0.80,49.99,34.08
0.05,226.63,9.17,0.00,11.44,0.79,49.99,33.51
0.05,226.49,8.85,0.00,11.35,0.79,49.98,33.79
0.05,226.01,8.84,0.00,11.25,0.77,49.99,34.08
0.05,225.94,8.99,0.00,11.30,0.79,49.99,33.79
0.05,226.02,9.02,0.00,11.35,0.80,50.00,33.51
0.05,226.03,9.07,0.00,11.38,0.80,50.00,33.51
0.05,226.92,9.16,0.00,11.51,0.80,50.00,33.79
0.05,227.14,8.90,0.00,11.40,0.79,50.01,33.79
0.05,226.73,9.11,0.00,11.42,0.78,50.01,34.08
0.05,226.69,9.01,0.00,11.38,0.79,50.02,34.08
0.05,226.67,8.93,0.00,11.34,0.79,50.02,33.51
0.05,226.94,8.92,0.00,11.37,0.79,50.02,34.08
0.05,227.20,8.92,0.00,11.39,0.79,50.02,34.08
0.05,227.06,8.68,0.00,11.31,0.77,50.02,34.08
0.05,226.93,9.06,0.00,11.41,0.78,50.02,33.51
0.05,226.80,8.63,0.00,11.27,0.78,50.03,34.08
0.05,226.85,8.88,0.00,11.32,0.78,50.03,34.08
