rmscurrent,rmsvoltage,activepower,reactivepower,apparentpower,powerfactor,frequency,temperature
0.12,235.25,14.18,0.00,27.27,0.53,50.01,34.93
0.11,235.30,14.11,0.00,26.50,0.53,50.02,34.08
0.11,235.23,13.64,0.00,25.64,0.53,50.01,34.65
0.11,235.22,14.08,0.00,26.47,0.53,50.01,35.50
0.11,235.21,13.18,0.00,24.92,0.53,50.01,35.22
0.11,235.55,13.58,0.00,25.58,0.53,50.01,34.36
0.11,235.50,14.09,0.00,26.46,0.53,50.01,34.65
0.11,235.38,13.71,0.00,26.14,0.53,50.00,34.65
0.11,235.31,13.55,0.00,26.15,0.53,49.99,35.50
0.11,235.37,13.58,0.00,25.60,0.53,50.00,34.65
0.11,235.44,14.43,0.00,26.44,0.53,50.00,35.50
0.12,234.85,14.78,-0.00,27.60,0.54,50.00,35.50
0.11,234.83,14.27,0.12,26.79,0.54,50.00,35.50
0.11,234.81,13.75,0.71,25.89,0.53,50.00,35.50
0.11,235.11,14.04,0.67,26.45,0.53,49.99,34.65
0.11,235.24,14.27,0.66,26.79,0.53,50.00,34.65
0.11,235.24,13.99,0.82,26.93,0.53,50.00,35.22
0.11,235.29,13.56,0.66,25.67,0.53,50.00,35.22
0.11,235.27,14.48,0.63,27.00,0.53,50.01,34.93
0.12,235.88,14.54,0.68,27.39,0.53,50.00,34.65
0.11,235.94,13.80,0.67,26.19,0.53,50.01,35.50
0.12,235.95,15.39,0.62,28.47,0.53,50.00,34.93
0.12,236.01,15.19,0.63,28.71,0.53,50.00,34.36
0.12,235.69,15.05,0.65,28.11,0.54,50.00,34.93
0.11,235.44,14.06,0.83,26.74,0.53,50.00,34.93
0.11,235.52,13.96,0.70,26.48,0.53,50.00,34.36
0.12,235.52,14.90,0.77,27.78,0.53,50.01,34.65
0.11,235.33,12.86,0.76,24.73,0.52,50.01,35.22
0.11,235.33,13.23,0.75,24.99,0.52,50.01,34.65
0.11,235.30,13.70,0.74,25.93,0.53,50.01,35.22
0.11,235.25,13.00,0.75,24.97,0.52,50.01,35.22
0.10,235.47,12.65,0.77,23.95,0.52,50.01,35.50
0.11,235.63,13.24,0.84,25.43,0.53,50.01,35.22
0.11,235.66,13.20,0.73,25.07,0.53,50.01,34.65
0.10,235.77,12.68,0.73,24.26,0.52,50.01,35.22
0.10,235.76,12.15,0.76,23.49,0.52,50.02,35.22
0.10,235.66,13.09,0.74,24.69,0.53,50.01,34.93
0.10,235.65,12.73,0.77,24.64,0.53,50.02,35.22
