rmscurrent,rmsvoltage,activepower,reactivepower,apparentpower,powerfactor,frequency,temperature
1.88,231.61,434.28,-0.35,434.29,1.00,49.98,34.65
1.87,231.57,433.97,-0.35,434.11,1.00,49.97,35.50
1.87,230.88,430.88,-0.35,431.48,1.00,49.97,34.93
1.88,231.90,435.14,-0.35,435.21,1.00,49.98,34.93
1.88,231.94,435.70,-0.35,435.61,1.00,49.98,35.22
1.88,231.92,435.42,-0.35,435.37,1.00,49.98,34.93
1.88,231.79,434.77,-0.35,434.84,1.00,49.99,34.93
1.88,231.76,434.73,-0.35,434.70,1.00,49.99,35.50
1.87,231.71,434.53,-0.35,434.44,1.00,49.99,34.65
1.87,231.60,433.99,-0.35,434.01,1.00,50.00,35.50
1.87,231.62,434.04,-0.35,434.02,1.00,50.00,35.22
1.87,231.50,433.56,-0.36,433.51,1.00,50.01,35.22
1.87,231.65,434.08,-0.36,434.03,1.00,50.00,34.93
1.87,230.94,431.37,-0.35,431.35,1.00,50.01,34.93
1.87,230.88,431.14,-0.35,431.10,1.00,50.01,35.22
1.87,230.81,430.92,-0.36,430.82,1.00,50.02,34.93
1.87,230.98,431.47,-0.35,431.34,1.00,50.01,34.65
1.87,230.87,430.90,-0.35,430.90,1.00,50.01,34.93
1.87,231.02,431.25,-0.35,431.41,1.00,50.00,35.22
1.87,230.94,431.13,-0.35,431.04,1.00,50.01,35.22
1.87,230.98,431.22,-0.35,431.14,1.00,50.02,34.93
1.86,230.79,430.20,-0.35,430.38,1.00,50.01,34.65
1.87,230.87,430.60,-0.35,430.63,1.00,50.02,34.93
1.86,230.65,429.80,-0.35,429.75,1.00,50.01,35.22
1.86,230.62,429.60,-0.35,429.62,1.00,50.01,35.50
1.86,230.57,429.36,-0.35,429.40,1.00,50.01,35.22
1.86,230.60,429.30,-0.35,429.42,1.00,50.01,34.65
1.86,230.57,429.20,-0.35,429.30,1.00,50.00,35.22
1.86,230.71,429.93,-0.36,429.96,1.00,50.01,35.50
1.86,230.83,429.88,-0.35,430.17,1.00,50.02,35.22
1.86,230.95,430.71,-0.35,430.56,1.00,50.01,34.65
1.87,231.12,431.07,-0.36,431.13,1.00,50.03,35.22
1.87,231.11,431.08,-0.36,431.07,1.00,50.03,34.93
1.86,231.07,430.89,-0.36,430.93,1.00,50.04,35.22
1.86,230.98,430.63,-0.36,430.55,1.00,50.04,34.36
1.86,231.08,430.99,-0.35,430.89,1.00,50.04,34.65
1.87,231.20,431.52,-0.36,431.29,1.00,50.03,35.22
1.87,231.61,432.41,-0.36,432.78,1.00,50.03,35.22
1.87,231.45,432.05,-0.36,432.12,1.00,50.03,35.22
1.87,231.44,432.19,-0.35,432.07,1.00,50.03,35.22
1.87,231.60,432.67,-0.35,432.63,1.00,50.04,34.65
1.87,231.47,432.01,-0.36,432.08,1.00,50.03,35.50
1.87,231.57,432.60,-0.37,432.44,1.00,50.02,34.93
1.87,231.57,432.43,-0.36,432.38,1.00,50.03,34.65
1.87,231.62,432.50,-0.36,432.53,1.00,50.04,34.93
1.87,231.51,431.80,-0.36,432.07,1.00,50.04,35.50
1.87,231.47,431.81,-0.37,431.91,1.00,50.04,35.22
1.86,231.26,431.03,-0.37,431.08,1.00,50.03,35.22
1.86,231.34,431.40,-0.37,431.31,1.00,50.03,35.22
1.87,231.51,432.16,-0.37,432.11,1.00,50.03,35.22
1.87,231.46,431.72,-0.36,431.74,1.00,50.04,35.22
1.87,231.52,431.77,-0.37,431.85,1.00,50.04,35.50
1.86,231.52,431.82,-0.37,431.78,1.00,50.02,34.93
1.87,231.82,432.64,-0.36,432.85,1.00,50.02,35.50
1.87,231.72,432.34,-0.37,432.41,1.00,50.02,34.93
1.87,231.79,432.37,-0.37,432.62,1.00,50.01,35.50
1.87,231.68,432.28,-0.37,432.16,1.00,50.01,34.65
1.87,231.77,432.37,-0.37,432.45,1.00,50.02,34.93
1.86,231.68,432.11,-0.37,432.05,1.00,50.01,34.93
1.87,231.86,432.73,-0.36,432.66,1.00,50.02,35.22
1.86,231.61,431.62,-0.37,431.70,1.00,50.02,35.50
1.87,231.79,432.60,-0.37,432.45,1.00,50.01,34.93
1.87,231.85,432.62,-0.37,432.67,1.00,50.01,35.22
1.86,231.70,432.19,-0.36,432.09,1.00,50.01,34.93
1.86,231.66,432.05,-0.37,431.88,1.00,49.99,34.93
1.86,231.73,431.92,-0.37,431.89,1.00,49.99,35.22
1.86,231.45,430.64,-0.37,430.74,1.00,49.98,35.22
1.86,231.42,430.84,-0.37,430.77,1.00,49.98,35.50
1.86,231.66,431.68,-0.37,431.60,1.00,49.98,35.50
1.86,231.72,431.82,-0.37,431.72,1.00,49.97,35.22
1.86,231.86,432.13,-0.37,432.15,1.00,49.98,35.22
1.86,231.82,431.78,-0.37,431.94,1.00,49.98,34.93
1.86,231.81,431.87,-0.37,431.80,1.00,49.97,34.65
1.86,231.84,431.85,-0.38,431.91,1.00,49.98,34.65
1.86,231.77,431.47,-0.37,431.59,1.00,49.97,34.93
1.86,231.74,431.55,-0.37,431.41,1.00,49.98,34.65
1.86,231.73,431.28,-0.37,431.28,1.00,49.97,34.93
1.86,231.59,430.58,-0.37,430.68,1.00,49.98,34.93
1.86,231.69,431.04,-0.38,430.99,1.00,49.98,34.65
1.86,231.78,431.36,-0.37,431.26,1.00,49.98,34.93
1.86,231.75,431.16,-0.37,431.07,1.00,49.99,34.93
1.86,231.75,431.00,-0.37,430.99,1.00,49.99,35.50
1.86,231.89,431.23,-0.37,431.39,1.00,49.98,34.93
1.86,231.88,431.33,-0.37,431.28,1.00,49.99,35.50
1.86,231.78,430.79,-0.37,430.83,1.00,49.99,35.50
1.86,231.90,431.18,-0.37,431.17,1.00,49.99,34.93
1.86,231.88,430.88,-0.37,431.01,1.00,50.00,35.22
1.86,232.18,431.82,-0.37,432.01,1.00,50.00,34.65
1.86,232.07,431.56,-0.37,431.54,1.00,50.01,34.65
1.86,232.32,432.19,-0.37,432.38,1.00,50.01,34.65
1.86,232.15,431.53,-0.37,431.63,1.00,50.00,35.22
1.86,232.02,431.02,-0.37,431.08,1.00,49.99,35.22
1.86,232.14,431.35,-0.37,431.46,1.00,49.99,35.50
1.86,232.11,431.20,-0.37,431.23,1.00,50.00,35.22
1.86,232.29,431.74,-0.37,431.78,1.00,49.99,35.50
1.86,232.47,432.43,-0.37,432.37,1.00,50.00,34.93
1.86,232.00,430.60,-0.38,430.55,1.00,49.99,34.93
1.86,231.98,430.38,-0.39,430.37,1.00,49.99,34.65
1.86,232.03,430.54,-0.37,430.47,1.00,49.98,35.50
1.85,231.98,430.22,-0.37,430.20,1.00,49.98,35.22
1.86,232.11,430.76,-0.37,430.59,1.00,49.99,34.65
1.85,232.05,430.39,-0.38,430.29,1.00,49.98,35.50
1.85,232.02,430.29,-0.38,430.12,1.00,49.97,34.93
1.85,231.93,429.58,-0.37,429.67,1.00,49.98,34.93
1.85,231.76,428.97,-0.38,428.96,1.00,49.98,34.93
1.85,231.83,428.98,-0.38,429.10,1.00,49.98,35.50
1.85,231.86,429.08,-0.37,429.15,1.00,49.98,35.22
1.85,231.86,429.06,-0.38,428.98,1.00,49.98,34.65
1.85,231.71,428.32,-0.38,428.35,1.00,49.99,35.22
1.85,231.65,428.30,-0.39,428.08,1.00,49.99,34.36
1.85,231.61,427.77,-0.38,427.87,1.00,49.99,34.93
1.85,232.31,430.30,-0.37,430.35,1.00,49.99,34.93
1.85,232.23,430.02,-0.38,429.95,1.00,50.00,35.22
1.85,232.35,430.34,-0.38,430.30,1.00,49.99,35.22
1.85,232.34,430.23,-0.38,430.13,1.00,50.00,34.36
1.85,232.26,429.94,-0.39,429.80,1.00,50.01,35.50
1.85,232.32,429.98,-0.39,429.93,1.00,50.01,34.36
1.85,232.24,429.42,-0.40,429.57,1.00,50.01,34.93
1.85,232.25,429.37,-0.39,429.58,1.00,50.02,34.65
1.84,231.55,426.98,-0.38,426.93,1.00,50.01,34.65
1.84,231.60,426.88,-0.39,427.02,1.00,50.02,35.50
1.84,231.64,426.98,-0.39,427.11,1.00,50.03,34.93
1.84,231.34,425.42,-0.39,425.92,1.00,50.02,34.93
1.84,231.25,425.53,-0.38,425.54,1.00,50.03,35.50
1.84,231.29,425.27,-0.39,425.42,1.00,50.03,35.22
1.84,231.23,425.40,-0.38,425.30,1.00,50.04,34.93
1.84,231.09,424.83,-0.38,424.71,1.00,50.03,34.93
1.84,231.61,426.68,-0.39,426.57,1.00,50.04,35.22
1.84,231.50,425.98,-0.38,426.09,1.00,50.03,34.36
1.84,231.57,426.16,-0.39,426.24,1.00,50.03,34.93
1.84,231.59,426.25,-0.39,426.27,1.00,50.03,34.93
1.84,231.64,426.11,-0.39,426.17,1.00,50.03,34.36
1.84,231.92,427.08,-0.38,427.13,1.00,50.03,35.50
1.84,231.94,427.34,-0.38,427.12,1.00,50.04,34.65
1.84,231.90,427.03,-0.39,426.88,1.00,50.04,34.93
1.84,231.88,426.80,-0.38,426.76,1.00,50.04,34.93
1.84,231.86,426.52,-0.39,426.63,1.00,50.04,34.36
1.84,231.91,426.67,-0.38,426.70,1.00,50.04,34.93
1.84,231.90,426.57,-0.38,426.64,1.00,50.04,35.22
1.84,231.69,425.80,-0.38,425.83,1.00,50.04,34.93
1.84,231.89,426.64,-0.39,426.48,1.00,50.04,34.65
1.84,231.98,426.88,-0.38,426.82,1.00,50.03,35.22
1.84,231.94,426.51,-0.39,426.60,1.00,50.03,34.36
1.84,232.27,427.78,-0.39,427.75,1.00,50.03,35.22
1.84,231.82,425.85,-0.39,426.02,1.00,50.03,34.93
1.84,231.94,426.34,-0.38,426.40,1.00,50.03,34.93
1.84,231.93,426.17,-0.39,426.27,1.00,50.03,34.93
1.84,231.87,425.81,-0.39,426.01,1.00,50.03,34.93
1.84,231.64,425.08,-0.38,425.11,1.00,50.03,34.93
1.83,231.60,424.93,-0.38,424.92,1.00,50.02,35.22
1.83,231.66,425.13,-0.38,425.09,1.00,50.02,35.22
1.83,231.64,424.96,-0.38,424.96,1.00,50.03,34.65
1.83,231.58,424.69,-0.38,424.69,1.00,50.02,35.50
1.83,231.61,424.90,-0.38,424.95,1.00,50.01,35.50
1.83,231.58,424.58,-0.38,424.59,1.00,50.01,35.22
1.83,231.62,424.86,-0.38,424.72,1.00,50.01,35.22
1.83,231.65,424.78,-0.38,424.79,1.00,50.01,35.22
1.83,231.56,424.26,-0.37,424.40,1.00,50.01,35.50
1.83,231.52,424.06,-0.38,424.23,1.00,50.02,34.93
1.83,231.52,424.18,-0.38,424.20,1.00,50.01,35.50
1.83,231.58,424.21,-0.38,424.36,1.00,50.01,35.50
1.83,231.53,424.07,-0.38,424.16,1.00,50.01,35.50
1.83,231.93,425.58,-0.37,425.57,1.00,50.01,34.93
1.84,231.97,425.72,-0.39,425.68,1.00,50.00,34.65
1.84,232.02,425.81,-0.38,425.80,1.00,50.01,35.22
1.84,232.01,425.69,-0.38,425.75,1.00,49.99,34.65
1.84,232.10,425.93,-0.38,426.01,1.00,50.00,35.22
1.83,231.94,425.36,-0.38,425.41,1.00,49.99,35.50
